کد کالا,نام گروه کالایی,قیمت پایه,ضریب,واحد اصلی,واحد فرعی,حداقل سفارش,حداکثر سفارش,شمارنده,موجودی,نوع میلگرد,وزن (kg),سایز میلگرد (mm)
1012080001000,میلگرد,70000,2.7,کیلوگرم,شاخه,1,1600,1,25,ساده,2.5,8
1012100001000,میلگرد,100000,3.7,کیلوگرم,شاخه,1,500,1,35,ساده,3.5,10
