کد محصول,شناسه دسته بندی,دسته بندی,جزئیات محصول ( دسته بندی ),واحد اصلی,واحد فرعی,حداقل سفارش,حداکثر سفارش,درجه شمارش,ضریب محصول,قیمت پایه محصول,موجودی محصول
rahsakht-40030300200001,20,اسپیسسر,"نوع اسپیسر: مکس، سایز اسپیسر (cm): 3، تعداد در هر بسته: 1000",عدد,بسته 1000 عددی,1,10,1,1000,9546,3380
rahsakht-40030500200001,20,اسپیسسر,"نوع اسپیسر: مکس، سایز اسپیسر (cm): 5، تعداد در هر بسته: 500",عدد,بسته 500 عددی,1,20,1,500,12728,26010
rahsakht-40040300100001,20,اسپیسسر,"نوع اسپیسر: مینی فیکس، سایز اسپیسر (cm): 3، تعداد در هر بسته: 2000",عدد,بسته 2000 عددی,1,20,1,2000,6364,6835.2
rahsakht-40040500100001,20,اسپیسسر,"نوع اسپیسر: مینی فیکس، سایز اسپیسر (cm): 5، تعداد در هر بسته: 1000",عدد,بسته 1000 عددی,1,20,1,1000,10001,16618.4
rahsakht-40060300300001,20,اسپیسسر,"نوع اسپیسر: هارد، سایز اسپیسر (cm): 3، تعداد در هر بسته: 600",عدد,بسته 600 عددی,1,10,1,600,14546,9719.6
rahsakht-40060500300001,20,اسپیسسر,"نوع اسپیسر: هارد، سایز اسپیسر (cm): 5، تعداد در هر بسته: 500",عدد,بسته 500 عددی,1,10,1,500,15001,8940.8
rahsakht-40060750300001,20,اسپیسسر,"نوع اسپیسر: هارد، سایز اسپیسر (cm): 7.5، تعداد در هر بسته: 300",عدد,بسته 300 عددی,1,10,1,300,18637,7800
rahsakht-40061000300001,20,اسپیسسر,"نوع اسپیسر: هارد، سایز اسپیسر (cm): 10، تعداد در هر بسته: 200",عدد,بسته 200 عددی,1,10,1,200,33637,8
rahsakht-40100500108001,20,اسپیسسر,"نوع اسپیسر: خورشیدی ( 8 پر)، سایز اسپیسر (cm): 5، تعداد در هر بسته: 300",عدد,بسته 300 عددی,1,5,1,300,19091,360
rahsakht-40100500110001,20,اسپیسسر,"نوع اسپیسر: خورشیدی ( 10 پر)، سایز اسپیسر (cm): 5، تعداد در هر بسته: 200",عدد,بسته 200 عددی,1,5,1,200,21364,2310.4
rahsakht-4102501002,17,سیم جوش,"سایز سیم جوش (mm): 2.5، برند: میکا",کیلوگرم,بسته 20 کیلوگرمی,1,5,1,20,1136364,0
rahsakht-4103001002,17,سیم جوش,"سایز سیم جوش (mm): 3، برند: میکا",کیلوگرم,بسته 20 کیلوگرمی,1,25,1,20,786364,1616
rahsakht-4104001002,17,سیم جوش,"سایز سیم جوش (mm): 4، برند: میکا",کیلوگرم,بسته 20 کیلوگرمی,1,50,1,20,777273,112
rahsakht-42030001001,22,افزودنی بتنی,"نوع روان کننده: روان کننده، نام روان کننده: pn - 12، برند: کپکو",گالن,گالن,1,10,1,1,10272728,2.8
rahsakht-42030002001,22,افزودنی بتنی,"نوع روان کننده: فوق روان کننده، نام روان کننده: spc - 218، برند: کپکو",گالن,گالن,1,10,1,1,11818182,0
rahsakht-42030003001,22,افزودنی بتنی,"نوع روان کننده: ابر روان کننده، نام روان کننده: spc - 100، برند: کپکو",گالن,گالن,1,10,1,1,18181819,6.4
rahsakht-75011020008006,25,ورق پانچ,"نوع ورق پانچ: آهن، ابعاد (m): 1*2، چشمه (mm): 06، ضخامت (mm): 0.8",برگ,برگ,1,50,1,1,7272728,20.8
rahsakht-75011020010006,25,ورق پانچ,"نوع ورق پانچ: آهن، ابعاد (m): 1*2، چشمه (mm): 06، ضخامت (mm): 1",برگ,برگ,1,50,1,1,8090910,34
rahsakht-7501102001008,25,ورق پانچ,"نوع ورق پانچ: آهن، ابعاد (m): 1*2، چشمه (mm): 08، ضخامت (mm): 1",برگ,برگ,1,20,1,1,8090910,15.2
rahsakht-7501102001010,25,ورق پانچ,"نوع ورق پانچ: آهن، ابعاد (m): 1*2، چشمه (mm): 010، ضخامت (mm): 1",برگ,برگ,1,20,1,1,8090910,4.8
rahsakht-75011020010606,25,ورق پانچ,"نوع ورق پانچ: طرحدار، ابعاد (m): 1*2، چشمه (mm): *، ضخامت (mm): 1",برگ,برگ,1,20,1,1,12545455,0.4
rahsakht-75011020010625,25,ورق پانچ,"نوع ورق پانچ: چاکدار، ابعاد (m): 1*2، چشمه (mm): *، ضخامت (mm): 1",برگ,برگ,1,20,1,1,18181819,0.4
rahsakht-750110200150006,25,ورق پانچ,"نوع ورق پانچ: آهن، ابعاد (m): 1*2، چشمه (mm): 06، ضخامت (mm): 1.5",برگ,برگ,1,50,1,1,11454546,17.2
rahsakht-75011020015010,25,ورق پانچ,"نوع ورق پانچ: آهن، ابعاد (m): 1*2، چشمه (mm): 010، ضخامت (mm): 1.5",برگ,برگ,1,20,1,1,11454546,2.8
rahsakht-7501102001508,25,ورق پانچ,"نوع ورق پانچ: آهن، ابعاد (m): 1*2، چشمه (mm): 08، ضخامت (mm): 1.5",برگ,برگ,1,20,1,1,11454546,17.2
rahsakht-75011020020006,25,ورق پانچ,"نوع ورق پانچ: آهن، ابعاد (m): 1*2، چشمه (mm): 06، ضخامت (mm): 2",برگ,برگ,1,50,1,1,13636364,14.4
rahsakht-75011020020008,25,ورق پانچ,"نوع ورق پانچ: آهن، ابعاد (m): 1*2، چشمه (mm): 08، ضخامت (mm): 2",برگ,برگ,1,20,1,1,13636364,16.8
rahsakht-75011020020010,25,ورق پانچ,"نوع ورق پانچ: آهن، ابعاد (m): 1*2، چشمه (mm): 010، ضخامت (mm): 2",برگ,برگ,1,20,1,1,13636364,4.8
rahsakht-7501122501006,25,ورق پانچ,"نوع ورق پانچ: آهن بلند، ابعاد (m): 1.25*2.5، چشمه (mm): 06، ضخامت (mm): 1",برگ,برگ,1,50,1,1,12272728,18.8
rahsakht-7501122501506,25,ورق پانچ,"نوع ورق پانچ: آهن بلند، ابعاد (m): 1.25*2.5، چشمه (mm): 06، ضخامت (mm): 1.5",برگ,برگ,1,50,1,1,19727273,19.6
rahsakht-7501122502006,25,ورق پانچ,"نوع ورق پانچ: آهن بلند، ابعاد (m): 1.25*2.5، چشمه (mm): 06، ضخامت (mm): 2",برگ,برگ,1,50,1,1,24818182,19.6
rahsakht-75021020010006,25,ورق پانچ,"نوع ورق پانچ: گالوانیزه، ابعاد (m): 1*2، چشمه (mm): 06، ضخامت (mm): 1",برگ,برگ,1,20,1,1,9818182,2
rahsakht-75021020010008,25,ورق پانچ,"نوع ورق پانچ: گالوانیزه، ابعاد (m): 1*2، چشمه (mm): 08، ضخامت (mm): 1",برگ,برگ,1,20,1,1,9818182,0.4
