کد کالا,نام گروه کالایی,قیمت پایه,ضریب,واحد اصلی,واحد فرعی,حداقل سفارش,حداکثر سفارش,شمارنده,موجودی,نام کالا,وزن (kg),سایز نبشی (mm),برند
32031001,نبشی,31000,6.5,کیلوگرم,شاخه,1,600,1,65,نبشی 3,6.5,3,شکفته
32041001,نبشی,30500,10.5,کیلوگرم,شاخه,1,400,1,105,نبشی 4,10.5,4,شکفته
