کد کالا,نام گروه کالایی,قیمت پایه,ضریب,واحد اصلی,واحد فرعی,حداقل سفارش,حداکثر سفارش,شمارنده,موجودی,عرض رول (cm),سایز مفتول (mm),سایز چشمه (Inch),وزن رول (kg),"وزن مترمربع
(kg)"
2108103010100001,توری گابیون سیل بند,48000,75,کیلوگرم,رول,1,10,1,750,100,3,8*10,75,1.9
2108103020100001,توری گابیون سیل بند,48000,150,کیلوگرم,رول,1,10,1,1500,200,3,8*10,150,1.9
2108103030100001,توری گابیون سیل بند,48000,210,کیلوگرم,رول,1,10,1,2100,300,3,8*10,210,1.9
